Date,Habit 1,Habit 2,Habit 3,Habit 4,Habit 5,Habit 6,Habit 7,Habit 8,Habit 9,Habit 10,
2022-01-06,Entry(timestamp=2022-01-06, value=0),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=0),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),Entry(timestamp=2022-01-06, value=2),
2022-01-05,Entry(timestamp=2022-01-05, value=2),Entry(timestamp=2022-01-05, value=0),Entry(timestamp=2022-01-05, value=0),Entry(timestamp=2022-01-05, value=0),Entry(timestamp=2022-01-05, value=0),Entry(timestamp=2022-01-05, value=2),Entry(timestamp=2022-01-05, value=2),Entry(timestamp=2022-01-05, value=0),Entry(timestamp=2022-01-05, value=2),Entry(timestamp=2022-01-05, value=2),
2022-01-04,Entry(timestamp=2022-01-04, value=2),Entry(timestamp=2022-01-04, value=2),Entry(timestamp=2022-01-04, value=2),Entry(timestamp=2022-01-04, value=0),Entry(timestamp=2022-01-04, value=2),Entry(timestamp=2022-01-04, value=0),Entry(timestamp=2022-01-04, value=0),Entry(timestamp=2022-01-04, value=0),Entry(timestamp=2022-01-04, value=2),Entry(timestamp=2022-01-04, value=0),
2022-01-03,Entry(timestamp=2022-01-03, value=0),Entry(timestamp=2022-01-03, value=0),Entry(timestamp=2022-01-03, value=0),Entry(timestamp=2022-01-03, value=0),Entry(timestamp=2022-01-03, value=2),Entry(timestamp=2022-01-03, value=0),Entry(timestamp=2022-01-03, value=2),Entry(timestamp=2022-01-03, value=2),Entry(timestamp=2022-01-03, value=0),Entry(timestamp=2022-01-03, value=0),
2022-01-02,Entry(timestamp=2022-01-02, value=2),Entry(timestamp=2022-01-02, value=0),Entry(timestamp=2022-01-02, value=2),Entry(timestamp=2022-01-02, value=0),Entry(timestamp=2022-01-02, value=2),Entry(timestamp=2022-01-02, value=0),Entry(timestamp=2022-01-02, value=0),Entry(timestamp=2022-01-02, value=2),Entry(timestamp=2022-01-02, value=0),Entry(timestamp=2022-01-02, value=0),
2022-01-01,Entry(timestamp=2022-01-01, value=2),Entry(timestamp=2022-01-01, value=2),Entry(timestamp=2022-01-01, value=2),Entry(timestamp=2022-01-01, value=0),Entry(timestamp=2022-01-01, value=0),Entry(timestamp=2022-01-01, value=0),Entry(timestamp=2022-01-01, value=0),Entry(timestamp=2022-01-01, value=0),Entry(timestamp=2022-01-01, value=2),Entry(timestamp=2022-01-01, value=0),
2021-12-31,Entry(timestamp=2021-12-31, value=2),Entry(timestamp=2021-12-31, value=2),Entry(timestamp=2021-12-31, value=2),Entry(timestamp=2021-12-31, value=2),Entry(timestamp=2021-12-31, value=0),Entry(timestamp=2021-12-31, value=2),Entry(timestamp=2021-12-31, value=2),Entry(timestamp=2021-12-31, value=2),Entry(timestamp=2021-12-31, value=2),Entry(timestamp=2021-12-31, value=0),
2021-12-30,Entry(timestamp=2021-12-30, value=0),Entry(timestamp=2021-12-30, value=2),Entry(timestamp=2021-12-30, value=2),Entry(timestamp=2021-12-30, value=2),Entry(timestamp=2021-12-30, value=0),Entry(timestamp=2021-12-30, value=0),Entry(timestamp=2021-12-30, value=2),Entry(timestamp=2021-12-30, value=2),Entry(timestamp=2021-12-30, value=2),Entry(timestamp=2021-12-30, value=0),
2021-12-29,Entry(timestamp=2021-12-29, value=0),Entry(timestamp=2021-12-29, value=0),Entry(timestamp=2021-12-29, value=0),Entry(timestamp=2021-12-29, value=2),Entry(timestamp=2021-12-29, value=0),Entry(timestamp=2021-12-29, value=0),Entry(timestamp=2021-12-29, value=0),Entry(timestamp=2021-12-29, value=0),Entry(timestamp=2021-12-29, value=2),Entry(timestamp=2021-12-29, value=0),
2021-12-28,Entry(timestamp=2021-12-28, value=0),Entry(timestamp=2021-12-28, value=0),Entry(timestamp=2021-12-28, value=2),Entry(timestamp=2021-12-28, value=0),Entry(timestamp=2021-12-28, value=0),Entry(timestamp=2021-12-28, value=2),Entry(timestamp=2021-12-28, value=2),Entry(timestamp=2021-12-28, value=2),Entry(timestamp=2021-12-28, value=2),Entry(timestamp=2021-12-28, value=0),
2021-12-27,Entry(timestamp=2021-12-27, value=0),Entry(timestamp=2021-12-27, value=0),Entry(timestamp=2021-12-27, value=0),Entry(timestamp=2021-12-27, value=2),Entry(timestamp=2021-12-27, value=0),Entry(timestamp=2021-12-27, value=2),Entry(timestamp=2021-12-27, value=2),Entry(timestamp=2021-12-27, value=2),Entry(timestamp=2021-12-27, value=0),Entry(timestamp=2021-12-27, value=2),
